EMPIRE_BM_TECH_1	Black Market Items available at Empire tech level one.	На черном рынке доступны технологии Империи первого уровня.
TEXT_TAR_EVENT_CONTRIVED_ATTACK_03	You have failed to heed my warning and your resulting defeat brings disgrace to both of us in the eyes of the Emperor.  I will not tolerate more losses.  The Rebellion fleet must be wiped out.	Вы пропустили мои предупреждения мимо ушей, а ваше поражение навлекло гнев Императора на нас обоих. Я не потерплю новых потерь. Флот повстанцев должен быть уничтожен.
TEXT_TAR_EVENT_CREDITS_00	Your handling of Imperial funds is admirable.  Unfortunately, we need to hold a larger surplus in reserve if we are to succeed over the long term.	Вы превосходно поработали над пополнением фондов Империи, но нам требуется большой резервный фонд, чтобы финансировать наши действия.
TEXT_TAR_EVENT_CREDITS_01	Your actions have been satisfactory.  Our scientists have put together a few new weapons that I need tested.  I will require a full report of course.	Я удовлетворен вашими действиями. Наши ученые разработали новое оружие, которое нужно испытать. Я жду полного отчета о результатах.
TEXT_TAR_EVENT_CREDIT_WINDFALL_00	I have discovered some unspent credits in the Imperial coffers.  See to it that these credits are spent wisely.	Я обнаружил в сейфах Империи немного лишних средств. Проследите, чтобы они были потрачены разумно.
TEXT_TAR_EVENT_DEFECTION_01	We strive to remove all traces of treachery and rebellion from our galaxy.  One of our lieutenants has been caught selling supplies to the Black Sun Pirates.  Since being discovered, he has allowed the pirates to take control of the planet.  You are to regain control of this planet and dispose of the deserter.	Мы стремимся очистить Галактику от измены и бунта. Одного из наших лейтенантов поймали на сбыте запасов пиратам 'Черного солнца'. Когда мерзавца раскрыли, он успел открыть пиратам путь на планету, и те захватили ее. Вы должны вернуть планету под наш контроль и избавиться от предателя.
TEXT_TAR_EVENT_DEFECTION_02	Your tactics are commendable.  In compensation for completing this task you will be given the use of an AT-AT for your upcoming battles.	Ваша тактика заслуживает одобрения. В качестве награды за выполнение этого задания вы получите в распоряжение шагоход АТ-АТ.
TEXT_TAR_EVENT_DEFECTION_TITLE	Pirate Defection	Измена пиратов
TEXT_TAR_EVENT_FAVOR_01	Despite your incompetence, Lord Vader has requested your assistance in a personal errand.  He wants you accompany him to a Rebellion planet to recover some captured Imperial forces.	Несмотря на вашу некомпетентность, Лорд Вейдер лично требует вашего содействия. Он хочет, чтобы вы сопровождали его на планету, занятую повстанцами, чтобы освободить захваченные имперские войска.
TEXT_TAR_EVENT_FAVOR_TITLE	A Favor for Lord Vader	Услуга Лорду Вейдеру
TEXT_TAR_EVENT_FLEET_RAMPAGE_00	You have interfered with the Empire for the last time.  Too many have failed in bringing about your termination.  I will be seeing to your destruction personally.  Surrender is no longer an option.	Вы предали Империю в последний раз. Слишком многие пытались погубить вас и потерпели поражение. Теперь этим займусь я лично. Отныне вас не спасет даже явка с повинной!
TEXT_TAR_EVENT_FLEET_RAMPAGE_01	Do not presume that I have been defeated, commander.  When the time is right, I will strike again.  The next time we meet, things will not end as fortunately for you as they have today.	Не думайте, что я потерпел поражение. Когда придет время, я снова ударю. Следующая наша встреча закончится для вас совсем иначе.
TEXT_TAR_EVENT_FLEET_RAMPAGE_02	My fleet has failed me.  They were weak and deserved the punishment they received.  Rest easy today, commander, for tomorrow I will return to exact my vengeance.	Мой флот подвел меня. Они оказались слабы и заслужили полученное наказание. Сегодня можете отдыхать, но завтра я вернусь, чтобы довести дело до конца.
TEXT_TAR_EVENT_FLEET_RAMPAGE_03	Yet again you have failed the Empire.  You have allowed a Rebellion fleet to defeat you on your own territory.  If you do not regroup and exterminate these criminals, you will learn how Lord Vader deals with incompetence.	Вы снова обманули ожидания Империи. Вы позволили флоту повстанцев разбить вас на собственной территории. Если вы не перегруппируетесь и не изгоните этих преступников, вы на собственной шкуре узнаете, как Лорд Вейдер поступает с ничтожествами. 
TEXT_TAR_EVENT_HERO_GATHERING_00	I have word from Lord Vader of a Rebel gathering.  Apparently, he has sensed that many of the Rebellion’s leaders are gathered together on one planet.  This is our chance to crush the Rebellion.  Take a fleet and assassinate these dissenters.	Лорд Вейдер сообщает о перемещениях повстанцев. Многие главари мятежников собрались на одной планете. Это наш шанс покончить с бунтом. Соберите флот и избавьтесь от мерзавцев.
TEXT_TAR_EVENT_HERO_GATHERING_01	You have let another opportunity passed you by.  The Rebellion has learned of our attack and dispersed its leaders.  Lord Vader will not be pleased with your incompetence.	Вы упустили еще одну возможность. Повстанцы узнали о нашей атаке и рассредоточили своих главарей. Лорд Вейдер будет очень недоволен.
TEXT_TAR_EVENT_HERO_GATHERING_02	We have succeeded in disrupting the leadership of the Rebellion.  Lord Vader is very pleased with our actions.  Unfortunately, your ineptitude has allowed our targets to escape death.  Fortunately, they will need time to recover from the battle.  During this time, they will be unable to command any of the Rebellion forces.	Мы добились успеха в нейтрализации лидеров Альянса. Лорд Вейдер очень доволен нашими действиями. К сожалению, из-за вашей глупости мишени ускользнули живыми. Однако им потребуется время, чтобы оправиться после битвы - пока они не способны ни на что.
TEXT_TAR_EVENT_HUNT_CAPITAL_SHIPS_00	Our probes are reporting that several Rebel capital ships have been spotted in orbit above a Rebel-controlled planet.  We cannot allow the Rebellion to grow unchallenged.  I need you to seek this fleet out and dispatch at least 3 of these ships.	Нам сообщили, что несколько крупных кораблей повстанцев замечены на орбите планеты, контролируемой мятежниками. Мы не можем позволить мятежникам наращивать силы. Вы должны напасть на этот флот и уничтожить по меньшей мере 3 корабля.
TEXT_TAR_EVENT_HUNT_CAPITAL_SHIPS_01	You have performed satisfactorily today, commander.  See to it that you do not let the Rebellion acquire such a great force again.	Сегодня вы справились удовлетворительно. В следующий раз не позволяйте повстанцам набрать такую силу.
TEXT_TAR_EVENT_PLANET_OWNERSHIP_FLIP_00	Rebel dissenters have turned one of your planets against us, commander.  Again you have failed your duties to the Empire.  Your position may soon be replaced if you cannot maintain civility on your own planets.	Повстанцы обратили одну из наших планет против нас. Вы снова не выполнили свой долг перед Империей. Вас могут скоро сместить, раз вы не можете поддерживать порядок на своих планетах.
TEXT_TAR_EVENT_PLANET_WINDFALL_00	We have been in contact with one of the Rebellion's systems.  They have come around to our way of thinking and have sworn allegiance to the Empire.	Мы установили контакт с одной из систем мятежников. Они раскаялись и поклялись в верности Империи.
TEXT_TAR_EVENT_REVOLT_01	Rebel cells are showing their faces across the galaxy.  Troublemakers on one of our systems have stirred up Rebel sentiment.  They have managed to overthrow the local forces and sworn allegiance to this Rebellion.  You will receive special compensation for quelling this uprising.	Очаги мятежа возникают по всей Галактике. На одной из наших систем кучка предателей подняла бунт. Они сумели перебить гарнизон и поклялись в верности повстанцам. За удаление этого сорняка вы получите специальную компенсацию.
TEXT_TAR_EVENT_REVOLT_02	Excellent.  It seems you have a bit of a following amongst the troops.  Several units have requested reassignment to your command.	Великолепно. Похоже, у вас появились поклонники в войсках. Несколько человек подали рапорты о переводе под ваше начало.
TEXT_TAR_EVENT_REVOLT_TITLE	Rebel Revolt	Мятеж повстанцев
TEXT_TAR_EVENT_SABOTAGE_01	We need to send an emissary to help convince others of their wrongdoing.  Your tactics leave room for improvement.  It is always best to weaken the enemy prior to battle.  Boba Fett specializes in the neutralization of Rebellion officers.  The removal of a Rebellion officer can turn a difficult battle into a simple one.	Нам необходим эмиссар, который убедил бы других в ошибочности их действий. Вам предстоит еще работать и работать над тактикой. Всегда лучше ослабить врага перед боем. Боба Фетт специализируется в нейтрализации офицеров противника. Если мы уберем офицера, сложная битва может превратиться в легкую.
TEXT_TAR_EVENT_SABOTAGE_02	You have weakened the Rebels and made way for an Imperial invasion.  Try not to forget this lesson.	Вы ослабили повстанцев и открыли Империи путь для вторжения. Постарайтесь не забыть этот урок.
TEXT_TAR_EVENT_SABOTAGE_TITLE	Rebel Sabotage	Саботаж повстанцев
TEXT_TAR_EVENT_SCOUT_00	We have received word from some reliable sources.  Rebellion fleets are moving through an area we previously thought of as secure.  Investigate these security lapses immediately.	Надежные источники сообщают о перемещениях повстанческого флота в районе, который считался хорошо защищенным. Немедленно займитесь расследованием.
TEXT_TAR_EVENT_SCOUT_01	Your investigations have led us to another area of the galaxy.  Send another scout to further investigate these disturbances.	Ваше расследование привело нас в другой район Галактики. Отправьте еще одного разведчика, чтобы изучить обстановку.
TEXT_TAR_EVENT_SCOUT_02	Your information has proven to be most useful to the Empire.  We have come to the determination that your forces are inadequate.  Take these credits and strengthen your command.	Ваша информация оказалась весьма полезна Империи. Мы пришли к решению, что ваших сил недостаточно. Возьмите эти средства и укрепите свои силы.
TEXT_TAR_EVENT_SMUGGLER_01	Bounty hunters have tracked down Han Solo.  The traitorous smuggler is apparently in the company of the Rebellion.  This scoundrel has stolen countless credits and supplies from the Empire.  He must be punished for his crimes.  Destroy him and any Rebellion accomplices.	Наемные убийцы выследили Хана Соло. Этот дезертир, ставший контрабандистом, теперь присоединился к мятежу. Мерзавец украл у нас несчетное множество денег и ресурсов. Он должен быть наказан. Уничтожьте его и всех его соучастников.
TEXT_TAR_EVENT_SMUGGLER_02	Your actions have been successful.  You have managed to cleanse the Rebel presence from this planet, however, word comes to us that Han Solo managed to survive.  You are treading on thin ice, commander.  Due to your incompetence, I will finish the job and take the planet surface.	Вы действовали вполне успешно. Вы сумели очистить планету от мятежников, однако нам сообщают, что Хан Соло сумел уцелеть. Вы ходите по тонкому льду, командор. Из-за вашей некомпетентности мне придется самому заканчивать работу.
TEXT_TAR_EVENT_SMUGGLER_TITLE	Rebel Smuggler	Контрабандист повстанцев
TEXT_TAR_EVENT_STRUCTURE_00	A base alone cannot protect worlds from the traitorous Rebellion.  Fleets, ground troops and secondary structures all play a part in defense.	Одна-единственная база не сможет противостоять заразе бунта. Для надежной обороны необходим флот, наземные войска и наземные сооружения.
TEXT_TAR_EVENT_STRUCTURE_01	I am sure the Emperor would thank you if he was present.  I believe you will find these new troops useful.	Я уверен, если бы Император видел это, он бы остался доволен. Отправляю в ваше распоряжение новые войска. Найдите им достойное применение.
TEXT_TAR_EVENT_TECH_WINDFALL_00	Your service to the Empire is noted.  While you continue your extermination of the Rebels, I'd like you to field test this new tech.  Your tech level has been raised.	Ваши услуги Империи не остались незамеченными. Продолжайте истреблять мятежников. А заодно испытайте на них нашу новую разработку. Ваш технический уровень увеличился.
TEXT_TAR_EVENT_TRAITOR_01	We have discovered a traitor in our midst.  He was discovered funneling classified information to the Rebellion.  Incompetence has allowed him to escape to Rebel territory.  Destroy all Rebellion resistance on the Rebellion planet harboring him.	Мы обнаружили в своих рядах предателя. Его застали за передачей секретной информации повстанцам. Некомпетентность охраны позволила ему сбежать к своим дружкам. Уничтожьте все сопротивление на мятежной планете, на которой он прячется. 
TEXT_TAR_EVENT_TRAITOR_02	The traitor has been found and justice is being administered.  Let this be a lesson as to what happens to those who turn their backs on the Empire.	Предатель был найден, и справедливость восторжествовала. Пусть это будет уроком тем, кто отворачивается от Империи.
TEXT_TAR_EVENT_TRAITOR_TITLE	Imperial Traitor	Предатель Империи
TEXT_TAR_EVENT_TRAP_00	Once again the Rebellion shows its laughable grasp of military strategy.  They have left one of their traitorous worlds poorly defended and I am assigning you to make them pay for this error.	Повстанцы снова показали свое полное невежество в военной стратегии. Они оставили один из охваченных изменой миров почти без защиты, и я поручаю вам заставить их заплатить за эту ошибку.
TEXT_TAR_EVENT_TRAP_01	Your lack of urgency has allowed the Rebel scum to recognize their weakness and construct a defense!  Were my orders somehow unclear?  I will be personally informing the Emperor of your incompetence.	Из-за вашей нерасторопности мятежники узнали наши слабые стороны и успели создать оборону! Я что, неясно отдал вам приказ? Я лично сообщу Императору о вашей некомпетентности.
TEXT_TAR_EVENT_TRAP_02	It's a trap!  Bolster your defenses to survive the battle.	Это ловушка!  Укрепляйте оборону, чтобы выстоять в битве.
TEXT_TAR_EVENT_UNITS_00	Credits sitting unspent do not work for the Empire; only the armies that money can produce are useful.	Деньги, которые лежат мертвым грузом, бесполезны. Превратите их в боеспособную армию!
TEXT_TAR_EVENT_UNITS_01	You have saved me time and resources.  It is only fair that I allow you to share in the surplus funding.	Вы сэкономили мне время и ресурсы. Будет только справедливо, если я поделюсь с вами денежными поступлениями.
TEXT_TAR_EVENT_UNIT_WINDFALL_00	Your actions have been adequately successful.  Our scientists have put together a few new weapons that I need tested.  I will require a full report of course.	Наши ученые разработали новое оружие. Поскольку вы показали, что кое-что умеете, его испытания поручены именно вам. Я жду полного отчета о результатах.
TEXT_TAR_EVENT_UPGRADE_STATION_00	Our space stations and ground bases are the backbone of the galaxy's defenses.  We need to increase our strength if we are to teach the Rebellion that their cause is a losing proposition.  Upgrade a starbase to strengthen our defenses.	Для защиты территории нужны орбитальные станции и наземные базы. Мы должны наращивать военную мощь, если хотим указать бунтарям их место! Улучшите базу, чтобы усилить нашу оборону.
TEXT_TAR_EVENT_UPGRADE_STATION_01	You handled that well.  I am directing some of the Imperial funds recovered from the Rebellion to your accounts.  Use them well.	Вы отлично справились. Имперские фонды пополнились за счет повстанцев, и я отправил часть этих средств в ваше распоряжение. Используйте их разумно.
TEXT_TAUNT_FOUR	Taunt Four	Насмешка 4
TEXT_TAUNT_ONE	Taunt One	Насмешка 1
TEXT_TAUNT_THREE	Taunt Three	Насмешка 3
TEXT_TAUNT_TWO	Taunt Two	Насмешка 2
TEXT_TEAM_MEMBERS_ONLY	Send to allies only	Сказать только своим
TEXT_TECH	Tech:	Эра:
TEXT_TECHTREE_BLACKMARKET_HINT	Hint: Buildable Options for the Zann Consortium.	Совет: Возможности строительства для Синдиката.
TEXT_TECHTREE_EMPIRE_HINT	Hint: Advance by doing research	Подсказка: Технологическое развитие идет путем исследований.
TEXT_TECHTREE_REBEL_HINT	Hint: Advance by stealing technology with R2-D2 and C3P0.	Совет: Для технологического развития используйте R2-D2 и C3PO для кражи технологий.
TEXT_TECH_LEVEL	Tech Level:	Эра:
TEXT_TECH_LEVEL_1	Tech 1	Техника 1
TEXT_TECH_LEVEL_2	Tech 2	Техника 2
TEXT_TECH_LEVEL_3	Tech 3	Техника 3
TEXT_TECH_LEVEL_4	Tech 4	Техника 4
TEXT_TECH_LEVEL_5	Tech 5	Техника 5
TEXT_TECH_TREE	Tech Tree	Дерево технологий
TEXT_TEMP_TAG_ACT01_OVER	END OF ACT I (remove for final product)	КОНЕЦ 1 АКТА (убрать из конечного текста)
TEXT_TEMP_TAG_ACT02_OVER	End of Act II	Конец 2 акта.
TEXT_TERRAIN_TYPE	Terrain:	Рельеф:
TEXT_TEST_BATTLE_INFO_HEADER	Battle Information	Боевая информация
TEXT_TEST_CONNECTIONS	Test Connections	Тестовые подключения
TEXT_TEST_OBJECTIVE_HEADER	Mission Objectives	Цели задания
TEXT_TEXTURE_MIP_LEVEL	Texture Detail	Детализация текстур
TEXT_TEXTURE_RESOLUTION_CHANGED	Your texture resolution setting has changed.  Please wait while the textures are resized…	Настройки разрешения текстур изменены. Подождите, идет масштабирование текстур...
TEXT_THYFERRA_KIDNAPPING_OBJECTIVE_00	Locate and Secure Ungarr Daris.	Найти Унгарра Дариса и захватить его.
TEXT_THYFERRA_KIDNAPPING_OBJECTIVE_01	Tyber Zann Must Survive.	Тайбер Занн должен уцелеть.
TEXT_THYFERRA_KIDNAPPING_OBJECTIVE_02	Escort Ungarr Daris Back to the Transport.	Проводите Унгарра Дариса обратно на корабль
TEXT_TIE_BOMBER_SQUADRON	TIE bomber Squadron	
TEXT_TIE_DEFENDER_SQUADRON	TIE defender Squadron	
TEXT_TIE_FIGHTER_2_SQUADRON	TIE fighter Squadron	
TEXT_TIE_INTERCEPTOR_SQUADRON	TIE interceptor Squadron	
TEXT_TIE_PHANTOM_SQUADRON	TIE phantom Squadron	
TEXT_TIE_PROTOTYPE_SQUADRON		Звено TIE Экспериментальных X-1
TEXT_TIE_SCOUT_SQUADRON	TIE scout Squadron	
TEXT_TIE_STARVIPER_SQUADRON	StarViper Fighter Squadron	Звено истребителей 'Звездная гадюка'
TEXT_TITLE_BM_TUTORIAL_00	Black Market Tutorial I	Учебное задание: Черный рынок I
TEXT_TITLE_BM_TUTORIAL_01	Black Market Tutorial II	Учебное задание: Черный рынок II
TEXT_TOGGLE_INTERFACE	Toggle Tactical Interface	Боевой интерфейс Вкл/Выкл
TEXT_TOGGLE_PLAYER_LIST	Toggle Player List	Список игроков
TEXT_TOOLTIP_181ST_SWAP		Переключение: с ракет на торпеды
TEXT_TOOLTIP_4LOM	A protocol droid-turned-bounty hunter, 4-LOM works for either faction as money dictates.  Sometimes partners with Zuckuss.	4-LOM - протокольный дроид, ставший наемным убийцей. Готов работать на любую фракцию, лишь бы хорошо платили. Иногда работает в паре с Зукуссом.
TEXT_TOOLTIP_A9		Быстрый и маневренный мстребитель. Но несмотря на это у него нет щитов и имеет слабую броню. Установка на него дополнительного генератора позволила использовать тяжелые лазерные пушки.
TEXT_TOOLTIP_AAC		Средний танк, изначально предназначавшийся для атаки воздушных целей. После того, как инженер компании СороСууб проиграл планы этого танка Альянсу, они были доработаны, после чего танк стал  многофункциональным. Вооружен 2 лазерными пушками и поворотной платформой с 16 ракетными установками.
TEXT_TOOLTIP_AAC_PLATOON		Взвод, состоящий из 6 танков AAC-1. Средние танки, изначально предназначавшиеся для атаки воздушных целей. После того, как инженер компании СороСууб проиграл планы этого танка Альянсу, они были доработаны, после чего танк стал  многофункциональным. Вооружены 2 лазерными пушками и поворотной платформой с 16 ракетными установками.
TEXT_TOOLTIP_AAT		Тяжелый танк, переданный Альянсу осколками Конфедерации Независимых Систем. Используется Альянсом в основном из-за возможности управления живым экипажем, а также высокой надежности. Все основные системы танка очень хорошо бронированы, а сам танк имеет хороший запас прочности. Вооружен тяжелой лазерной пушкой, 2 легкими лазерными пушками и 2 бластерными пушками.
TEXT_TOOLTIP_AAT_PLATOON		Взвод, состоящий из 4 танков AAT. Танки переданы Альянсу осколками Конфедерации Независимых Систем. Используются Альянсом в основном из-за возможности управления живым экипажем, а также высокой надежности. Все основные системы танков очень хорошо бронированы, а сами танки имеют хороший запас прочности. Вооружены тяжелой лазерной пушкой, 2 легкими лазерными пушками и 2 бластерными пушками.
TEXT_TOOLTIP_AA_TURRET	Anti-Aircraft turret capable of shooting down bombers and aircraft.	Башня ПВО, способная сбивать бомбардировщики и авиацию.
TEXT_TOOLTIP_ABILITYS_CALAMARI		Корабль может временно увеличить скорость и мощность регенерации щитов благодаря каламарийской технологии.
TEXT_TOOLTIP_ABILITYS_CORELLIAN		Корабль может временно увеличить свою скорость благодаря кореллианской технологии.
TEXT_TOOLTIP_ABILITY_AFTERBURNER_DESCRIPTION	Redirect power to engines.  While activated, speed is increased but at the cost of reduced firepower.	Перенаправляет энергию на двигатели. При этом скорость увеличивается за счет уменьшения огневой мощи.
TEXT_TOOLTIP_ABILITY_AFTERBURNER_NAME	Boost Engine Power	Форсаж
TEXT_TOOLTIP_ABILITY_AREA_EFFECT_CONVERT_DESCRIPTION	Use mind control and persuasive powers to lure enemy units to join the side of the Empire.  Affected units will fight for the Empire for the duration of the battle.	С помощью Силы уговорить вражеские войска перейти на сторону Империи. Обращенные отряды будут сражаться за Империю до конца боя.
TEXT_TOOLTIP_ABILITY_AREA_EFFECT_CONVERT_NAME	Force Corrupt	Совращение Силой
TEXT_TOOLTIP_ABILITY_AREA_EFFECT_HEAL_DESCRIPTION	Use the Force to heal all nearby Rebellion infantry units.	Использовать Силу, чтобы исцелить всех пехотинцев Восстания поблизости.
TEXT_TOOLTIP_ABILITY_AREA_EFFECT_HEAL_NAME	Force Heal	Исцеление Силой
TEXT_TOOLTIP_ABILITY_AREA_EFFECT_STUN_DESCRIPTION	Activate EMP burst to disable nearby mechanical units.	Вызвать электромагнитный взрыв, чтобы вывести из строя близлежащую технику.
TEXT_TOOLTIP_ABILITY_AREA_EFFECT_STUN_NAME	EMP Burst	ЭМ-взрыв 
TEXT_TOOLTIP_ABILITY_ASSAULT_DESCRIPTION	All weapons fire quickly and with massive damage.	Повышается скорострельность и урон всего оружия.
TEXT_TOOLTIP_ABILITY_ASSAULT_NAME	Assault	Штурм
TEXT_TOOLTIP_ABILITY_AVOID_DANGER_DESCRIPTION	Avoid Danger	Избегать опасности
TEXT_TOOLTIP_ABILITY_AVOID_DANGER_NAME	Avoid Danger	Избегать опасности
TEXT_TOOLTIP_ABILITY_BARRAGE_DESCRIPTION	Continuously fires at a targeted area on the map.  Enemy units caught in the targeted area will take significant damage.  While barraging a destination, the unit cannot move.	Ведет непрерывный заградительный огонь по указанному району на карте. Вражеские корабли в этом районе несут значительный урон. В это время корабль, ведущий стрельбу, не может двигаться.
TEXT_TOOLTIP_ABILITY_BARRAGE_NAME	Barrage Area	Заградительный огонь
TEXT_TOOLTIP_ABILITY_BATTLE_MEDITATION_DESCRIPTION		Боевая медитация улучшает боевой дух дружественных войск, уменьшая его у вражеских солдат.
TEXT_TOOLTIP_ABILITY_BATTLE_MEDITATION_NAME	Battle Meditation	Боевая медитация
TEXT_TOOLTIP_ABILITY_BERSERKER_DESCRIPTION	When activated, Yoda bounces around the enemy doing major damage.	При активации этой способности Йода прыгает вокруг противника, нанося ему сильный урон.
TEXT_TOOLTIP_ABILITY_BERSERKER_NAME	Force Attack	Атака Силы
TEXT_TOOLTIP_ABILITY_BLAST_DESCRIPTION	When activated, the weapon systems will charge up, resulting in two very powerful blasts. 	При активации начинается перегрузка оружейных систем, что приведет к двум мощнейшим взрывам.
TEXT_TOOLTIP_ABILITY_BLAST_NAME	Blast	Взрыв
TEXT_TOOLTIP_ABILITY_BUZZ_DROIDS_DESCRIPTION	Deploys droids that will attack nearby enemy craft.  Fighters and corvettes will be severely damaged; frigates and larger ships are immune.	Выпуск дроидов, атакующих близкорасположенные вражеские корабли. Небольшие корабли и истребители несут тяжелый урон; крейсера и более крупные корабли неуязвимы для этой атаки.
TEXT_TOOLTIP_ABILITY_BUZZ_DROIDS_NAME	Buzz Droids	Дроиды-мины
TEXT_TOOLTIP_ABILITY_CABLE_ATTACK_DESCRIPTION	Fire a tow cable at the legs of an AT-AT.  A tow cable will trip a moving AT-AT, causing its destruction.	Выстрелить тросом по ногам АТ-АТ. АТ-АТ с опутанными ногами падает и взрывается.
TEXT_TOOLTIP_ABILITY_CABLE_ATTACK_NAME	Cable Attack	Атака тросом
TEXT_TOOLTIP_ABILITY_CAPTURE_VEHICLE_DESCRIPTION	Use Chewbacca's brute strength to hijack an enemy vehicle.	Использовать невероятную силу Чубакки, чтобы угнать вражеский аппарат.
TEXT_TOOLTIP_ABILITY_CAPTURE_VEHICLE_NAME	Capture Vehicle	Захват техники
TEXT_TOOLTIP_ABILITY_CLUSTER_BOMB_DESCRIPTION	When deployed, cluster bombs project outward from the unit.	При активации кассетные бомбы отлетают в разные стороны от стрелявшего.
TEXT_TOOLTIP_ABILITY_CLUSTER_BOMB_NAME	Cluster Bomb	Кассетная бомба
TEXT_TOOLTIP_ABILITY_CONCENTRATE_FIRE_DESCRIPTION	All weapons charge and fire on the same target for massive damage.	Максимально возможноеколичество орудий одновременно выпускают залп по одной цели, нанося большой урон.
TEXT_TOOLTIP_ABILITY_CONCENTRATE_FIRE_NAME	Concentrate Fire	Сосредоточить огонь
TEXT_TOOLTIP_ABILITY_CORRUPT_SYSTEMS_DESCRIPTION	This ability causes targeted enemy ships to malfunction and fire inaccurately, drain shield power, and deactivate abilities.	Эта способность снижает точность огня кораблей, на которые она воздействует, а также вытягивает энергию их щитов и блокирует особые способности.
TEXT_TOOLTIP_ABILITY_CORRUPT_SYSTEMS_NAME	Corrupt Systems	Помехи в системах
TEXT_TOOLTIP_ABILITY_DARKSIGHT_DESCRIPTION		Способность, позволяющая выстраивать будущее на основе перебора всех возможных комбинаций. Эффективность атаки и защиты значительно увеличивается на небольшой промежуток времени.
TEXT_TOOLTIP_ABILITY_DARKSIGHT_NAME	Darksight	Темное видение
TEXT_TOOLTIP_ABILITY_DEFEND_DESCRIPTION	Boost shield regeneration for a short duration.  While shields are boosted, ships move and fire at a slower rate.	На короткое время форсируется скорость восстановления щитов.
TEXT_TOOLTIP_ABILITY_DEFEND_NAME	Boost Shield Power	Резервные генераторы щита
TEXT_TOOLTIP_ABILITY_DEMORALIZE_DESCRIPTION		Временно подключается к переговорной сети противника, произнося про-имперские речи, деморализующие противника и понижающие его боевые качества.
TEXT_TOOLTIP_ABILITY_DEMORALIZE_NAME		Деморализовать противника
TEXT_TOOLTIP_ABILITY_DEPLOY_DESCRIPTION	Deploy the unit to enable long range artillery fire.  While deployed the unit cannot move.	При развертывании становится возможна стрельба на дальнее расстояние. В таком положении отряд не может двигаться.
TEXT_TOOLTIP_ABILITY_DEPLOY_NAME	Deploy/Undeploy	Развернуть / Свернуть
TEXT_TOOLTIP_ABILITY_DEPLOY_SQUAD_DESCRIPTION	This ability adds a squadron of fighters to the battle.	Данная способность вводит в бой звено истребителей.
TEXT_TOOLTIP_ABILITY_DEPLOY_SQUAD_NAME	Deploy Squadron	Звено истребителей
TEXT_TOOLTIP_ABILITY_DEPLOY_TROOPERS_DESCRIPTION	Deploy a company of stormtroopers from the transport.	Высадить взвод штурмовиков.
TEXT_TOOLTIP_ABILITY_DEPLOY_TROOPERS_NAME	Deploy Stormtroopers	Высадка штурмовиков
TEXT_TOOLTIP_ABILITY_DESTROY_PLANET_DESCRIPTION	Activate the Death Star to destroy the nearby planet.	Активировать Звезду смерти для разрушения соседней планеты.
TEXT_TOOLTIP_ABILITY_DESTROY_PLANET_NAME	Destroy Planet	Уничтожить планету
TEXT_TOOLTIP_ABILITY_DETONATE_REMOTE_BOMB_DESCRIPTION	Trigger remote explosive.	Позволяет детонировать взрывчатку на расстоянии.
TEXT_TOOLTIP_ABILITY_DETONATE_REMOTE_BOMB_NAME	Detonate Remote Explosive	Дистанционный детонатор взрывчатки
TEXT_TOOLTIP_ABILITY_DISTRACT_DESCRIPTION	Use Obi-Wan's Force powers to distract nearby enemies.  Distracted enemies will not see Obi-Wan as hostile.	Использовать Силу, чтобы отвести глаза близлежащим противникам. Подпавшие под действие Силы не будут считать Оби-Вана врагом.
TEXT_TOOLTIP_ABILITY_DISTRACT_NAME	Distract Mind	Отвод глаз
TEXT_TOOLTIP_ABILITY_DRAIN_LIFE_DESCRIPTION	Drains life out of enemies into the unit.	Передает воину жизненную энергию противника.
TEXT_TOOLTIP_ABILITY_DRAIN_LIFE_NAME	Drain Life	Отток жизни
TEXT_TOOLTIP_ABILITY_EJECT_VEHICLE_THIEF_DESCRIPTION	Leave the currently captured vehicle.  Vehicle will be set to self destruct upon exit.	Оставить захваченное транспортное средство. Оно при этом настраивается на самоподрыв.
TEXT_TOOLTIP_ABILITY_EJECT_VEHICLE_THIEF_NAME	Exit Vehicle	Покинуть транспорт
TEXT_TOOLTIP_ABILITY_ENERGY_WEAPON_DESCRIPTION	Fire a proton beam at an enemy ship that does massive hull damage.	Корабль делает выстрел по вражескому кораблю из протонной лучевой пушки.
TEXT_TOOLTIP_ABILITY_ENERGY_WEAPON_NAME	Proton Beam	Протонная лучевая пушка
TEXT_TOOLTIP_ABILITY_FIRE_ALL_BATTERIES_DESCRIPTION		Огонь из всех орудий в усиленном темпе
TEXT_TOOLTIP_ABILITY_FIRE_ALL_BATTERIES_NAME		Огонь из всех орудий
TEXT_TOOLTIP_ABILITY_FIRE_LOBBING_SUPERWEAPON_DESCRIPTION	Fires a long-range EMP blast which disables all vehicles within the effect for a short time.	Выстрел из дальнобойной электромагнитной пушки на короткое время выводит из строя всю технику в зоне поражения.
TEXT_TOOLTIP_ABILITY_FIRE_LOBBING_SUPERWEAPON_NAME	Fire Cannon	Стрелять из пушки
TEXT_TOOLTIP_ABILITY_FLAME_THROWER_DESCRIPTION	Use Boba Fett's flame thrower to burn the targeted enemy unit.	Использовать огнемет Бобы Фетта, чтобы сжечь выбранный вражеский отряд.
TEXT_TOOLTIP_ABILITY_FLAME_THROWER_NAME	Flame Thrower	Огнемет
